Event, ele_E, ele_Px, ele_Py, ele_Pz,  pos_E, pos_Px, pos_Py, pos_Pz
2645, 48596.6, -33739.5, 17574.7, -30239.3, 49863.9, 30748.2, -21030.7, 33146
2646, 34087.8, -25156.7, -21673.9, -7704.46, 63508.7, 29181.1, 53985.9, 16350.8
2647, 29568.1, 14589.1, 24695.8, 7179.61, 62863.5, 747.073, -32372.7, -53882
2648, 59577.1, -36979.2, 3029.85, 46613.2, 187098, 34269.9, -5199.62, 183859
2649, 63474, 43936.2, -17380.7, -42384.7, 74800, -42560.9, -15693.1, -59475.5
2650, 186608, -37275.2, -13781.6, -182327, 47800.8, 34031.6, -5510.46, -33112
2651, 48840.4, -28075.6, -37766.9, 13069.1, 55897.1, 24233.1, 30841.2, -39825.4
2652, 173803, 41476, -1158.76, 168778, 50529.5, -33979.2, -6343.04, 36856.7
2653, 89033.6, -23298.8, -27822.8, -81302.2, 52378.4, 4525.44, 43613.1, -28651.6
2654, 120166, 10637.7, 44387, 111160, 82591, -11428.2, -44321.6, 68747.8
2655, 40683.2, -29752, -27513.4, -3599.91, 52311.7, 29846.3, 42584, 5684.95
2656, 177843, -23557.6, 25426.8, -174432, 71337.9, 38133.4, -16419.7, -58011.5
2657, 49494, -32275.1, 5992.32, 37041.5, 53048.8, 51013.1, -11022.7, -9504.33
2658, 41447.1, -33056.7, 22889, -10060.3, 60970.4, 35947.5, -27631.1, -40763.8
2659, 137989, 21667.5, -50333.8, 126642, 161008, 4935.16, 37731.2, 156447
2660, 48153.1, -27896.3, 16480.3, 35621.9, 47713.1, 24687.4, -14633.8, -38117.2
2661, 134948, 35393.9, 15824.6, -129259, 273734, -46891.7, -20011.3, -268944
2662, 137878, 32090.7, -27599.9, -131221, 63394.6, -32503.7, 23767.4, -48964.2
2663, 76034.4, -4011.26, 41099.2, 63843.5, 49122.4, 4580.6, -43402.5, 22544.6
2664, 35220.5, 34104.3, 8459.8, 2410.64, 65434.2, -40212.9, -6735.9, -51178
2665, 66452.3, 15372.9, 31881.9, 56241.7, 165262, -23691.7, -36928.8, 159331
2666, 386919, -2350.23, -66740.5, 381112, 153938, 17670, 29495.3, 150049
2667, 40715.9, -8814.44, 39352.7, 5608.16, 51248.9, 642.98, -51149.3, 3127.59
2668, 202287, -52137.7, 1965.51, -195442, 193942, 26351, -25178.1, -190487
2669, 39172.5, 37522, -7375.19, 8496.42, 67205.9, -48194.5, 32185.6, 34029.6
2670, 51886.8, 6370.9, -38446.3, 34256.8, 40393.7, 1561.42, 35454.7, -19291.8
2671, 72821.2, -38070.9, 29261.7, 54747.5, 81240.4, 31549.2, -29268.8, 68905.6
2672, 38736.8, -28336.7, -25650, -6296.31, 52243.4, 32459.7, 34340.1, 22282.2
2673, 45701.3, -11897.1, 43350.1, -8236.08, 42390.9, -14727.3, -26948.8, 29220.8
2674, 49589.7, 37972.6, -24227.5, -20742.4, 56385.6, -31498.9, 33195.6, -32942.6
2675, 51433.3, 37190.1, 34018.5, 10248.4, 43907.6, -28878.5, -28224.1, 17242.7
2676, 95332.3, -19557.5, 56771.2, -74045.8, 59484.1, 44972.3, -5552.59, -38535.9
2677, 70198.1, -23795, 33876.6, 56691.7, 35891.9, 32064.4, -5274.85, -15240.8
2678, 69188.4, -18020.5, -35855.1, -56362.3, 48909.3, 19491.1, 40723.6, -18809.6
2679, 120295, 56894.1, 19254.5, -104227, 63786.3, 13160.2, -51963, -34573.9
2680, 145765, 31357, -27864.8, -139598, 80302.3, -44827.5, -2243.04, -66587.7
2681, 37532.7, -12904.9, 30427.8, 17785.3, 55906.2, 38376.2, -33980.6, -22318
2682, 39886.3, 646.51, -31898.9, -23936.6, 112855, 12363.7, 59215.2, -95273.5
2683, 156591, -37546.3, -31444.8, 148736, 111727, 34651.6, 23870.4, 103500
2684, 69537.7, 63037.5, -23891.8, -17057.2, 38476, -35116, -974.826, -15694.4
2685, 44293.8, -24229.9, 18386, -32199.5, 102393, 51198.6, -14623.6, -87459.6
2686, 29086.3, -25403.9, -8270.95, 11499.8, 187414, 29551.4, 15885.4, 184387
2687, 61228.4, -23958.8, 41803.8, -37780.1, 117183, -7181.24, -36336.8, -111175
2688, 117967, 32074.9, 27395.7, 110168, 135647, -36439.4, -14610.5, 129842
2689, 41142.2, 11569.5, 37072.4, 13581.8, 62855.7, -19739.1, -50864.2, 31209.8
2690, 41372.6, 32254.4, -10404.8, -23729.5, 58542.9, -45772.6, 2154.74, 36434.9
2691, 55501.2, -5902.95, -34406.1, -43148.1, 126915, -56040.2, 51261.9, -101681
2692, 72387.4, 14889.9, -68030.4, -19750.6, 158040, 126618, -58666.8, -74180
